type,date,unix_start,unix_end,day,start,end,category,project,task,subtask,amount,amount_decimal,rate,sum,rounding_minutes,rounding_method,note
timed,1/3/17,1483452060,1483453560,Tuesday,8:01 AM,8:26 AM,,Uplink ,Version 1,,00:25,0.42,,,1,NEAREST,
timed,1/3/17,1483456140,1483466280,Tuesday,9:09 AM,11:58 AM,,ECD-Network,SkinIO,,02:49,2.82,,,1,NEAREST,
timed,1/3/17,1483469040,1483490220,Tuesday,12:44 PM,6:37 PM,,ECD-Network,SkinIO,,05:53,5.88,,,1,NEAREST,
timed,1/4/17,1483542240,1483553820,Wednesday,9:04 AM,12:17 PM,,ECD-Network,SkinIO,,03:13,3.22,,,1,NEAREST,
timed,1/4/17,1483555260,1483577760,Wednesday,12:41 PM,6:56 PM,,ECD-Network,SkinIO,,06:15,6.25,,,1,NEAREST,
timed,1/5/17,1483619880,1483626240,Thursday,6:38 AM,8:24 AM,,Uplink ,Version 1,,01:46,1.77,,,1,NEAREST,
timed,1/5/17,1483629540,1483640280,Thursday,9:19 AM,12:18 PM,,ECD-Network,SkinIO,,02:59,2.98,,,1,NEAREST,
timed,1/5/17,1483641360,1483660500,Thursday,12:36 PM,5:55 PM,,ECD-Network,SkinIO,,05:19,5.32,,,1,NEAREST,
timed,1/6/17,1483712640,1483745400,Friday,8:24 AM,5:30 PM,,ECD-Network,SkinIO,,09:06,9.10,,,1,NEAREST,
timed,1/7/17,1483802280,1483804320,Saturday,9:18 AM,9:52 AM,,Uplink ,Version 1,,00:34,0.57,,,1,NEAREST,
timed,1/7/17,1483817340,1483819440,Saturday,1:29 PM,2:04 PM,,Uplink ,Version 1,,00:35,0.58,,,1,NEAREST,
timed,1/8/17,1483885560,1483888080,Sunday,8:26 AM,9:08 AM,,Uplink ,Version 1,,00:42,0.70,,,1,NEAREST,
timed,1/8/17,1483929600,1483930920,Sunday,8:40 PM,9:02 PM,,Uplink ,Version 1,,00:22,0.37,,,1,NEAREST,
timed,1/9/17,1483974600,1484004600,Monday,9:10 AM,5:30 PM,,ECD-Network,SkinIO,,08:20,8.33,,,1,NEAREST,
timed,1/10/17,1484060460,1484072580,Tuesday,9:01 AM,12:23 PM,,ECD-Network,SkinIO,,03:22,3.37,,,1,NEAREST,
timed,1/10/17,1484074380,1484092020,Tuesday,12:53 PM,5:47 PM,,ECD-Network,SkinIO,,04:54,4.90,,,1,NEAREST,
timed,1/11/17,1484146800,1484157240,Wednesday,9:00 AM,11:54 AM,,ECD-Network,SkinIO,,02:54,2.90,,,1,NEAREST,
timed,1/11/17,1484161860,1484177940,Wednesday,1:11 PM,5:39 PM,,ECD-Network,SkinIO,,04:28,4.47,,,1,NEAREST,
timed,1/11/17,1484193300,1484198460,Wednesday,9:55 PM,11:21 PM,,Uplink ,Version 1,,01:26,1.43,,,1,NEAREST,
timed,1/12/17,1484225700,1484231760,Thursday,6:55 AM,8:36 AM,,Uplink ,Version 1,,01:41,1.68,,,1,NEAREST,
timed,1/12/17,1484234460,1484245260,Thursday,9:21 AM,12:21 PM,,ECD-Network,SkinIO,,03:00,3.00,,,1,NEAREST,
timed,1/12/17,1484247360,1484264100,Thursday,12:56 PM,5:35 PM,,ECD-Network,SkinIO,,04:39,4.65,,,1,NEAREST,
timed,1/13/17,1484317440,1484332500,Friday,8:24 AM,12:35 PM,,ECD-Network,SkinIO,,04:11,4.18,,,1,NEAREST,
timed,1/13/17,1484334120,1484350980,Friday,1:02 PM,5:43 PM,,ECD-Network,SkinIO,,04:41,4.68,,,1,NEAREST,
timed,1/16/17,1484584500,1484595780,Monday,10:35 AM,1:43 PM,,Uplink ,Version 1,,03:08,3.13,,,1,NEAREST,
timed,1/17/17,1484660400,1484662680,Tuesday,7:40 AM,8:18 AM,,Uplink ,Version 1,,00:38,0.63,,,1,NEAREST,
timed,1/17/17,1484665200,1484677260,Tuesday,9:00 AM,12:21 PM,,ECD-Network,SkinIO,,03:21,3.35,,,1,NEAREST,
timed,1/17/17,1484678880,1484696760,Tuesday,12:48 PM,5:46 PM,,ECD-Network,SkinIO,,04:58,4.97,,,1,NEAREST,
timed,1/18/17,1484743800,1484749800,Wednesday,6:50 AM,8:30 AM,,Uplink ,Version 1,,01:40,1.67,,,1,NEAREST,
